NDC,CUI_L1_NAME,BRAND_GENERIC,CUI_L2_NAME_ARRAY,INGREDIENT_NAME_ARRAY,BRANDED_INGREDIENT_NAME_ARRAY,PKG_STRENGTH,PKG_QTY,STRENGTH_MG,DFG_NAME_ARRAY,DF_NAME_ARRAY,PIN_NAME_ARRAY,ALL_INGREDIENTS
00378161005,dicyclomine hydrochloride 10 mg oral capsule,generic,"[
  ""dicyclomine hydrochloride 10 mg""
]","[
  ""dicyclomine""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""dicyclomine Oral Product"",
  ""dicyclomine Pill""
]","[
  ""dicyclomine hydrochloride""
]",dicyclomine
00378162001,dicyclomine hydrochloride 20 mg oral tablet,generic,"[
  ""dicyclomine hydrochloride 20 mg""
]","[
  ""dicyclomine""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""dicyclomine Oral Product"",
  ""dicyclomine Pill""
]","[
  ""dicyclomine hydrochloride""
]",dicyclomine
00378162005,dicyclomine hydrochloride 20 mg oral tablet,generic,"[
  ""dicyclomine hydrochloride 20 mg""
]","[
  ""dicyclomine""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""dicyclomine Oral Product"",
  ""dicyclomine Pill""
]","[
  ""dicyclomine hydrochloride""
]",dicyclomine
53451010101,gabapentin enacarbil 600 mg extended release oral tablet [horizant],brand,"[
  ""gabapentin enacarbil 600 mg [horizant]""
]","[
  ""gabapentin""
]","[
  ""Horizant""
]",600 MG (expressed as gabapentin enacarbil),,600.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Horizant Oral Product"",
  ""Horizant Pill""
]","[
  ""gabapentin enacarbil""
]",gabapentin || Horizant
53451010301,gabapentin enacarbil 300 mg extended release oral tablet [horizant],brand,"[
  ""gabapentin enacarbil 300 mg [horizant]""
]","[
  ""gabapentin""
]","[
  ""Horizant""
]",300 MG (expressed as gabapentin enacarbil),,300.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Horizant Oral Product"",
  ""Horizant Pill""
]","[
  ""gabapentin enacarbil""
]",gabapentin || Horizant
63459021530,armodafinil 150 mg oral tablet [nuvigil],brand,"[
  ""armodafinil 150 mg [nuvigil]""
]","[
  ""armodafinil""
]","[
  ""Nuvigil""
]",150 MG,,150.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Nuvigil Oral Product"",
  ""Nuvigil Pill""
]",,armodafinil || Nuvigil
63459022530,armodafinil 250 mg oral tablet [nuvigil],brand,"[
  ""armodafinil 250 mg [nuvigil]""
]","[
  ""armodafinil""
]","[
  ""Nuvigil""
]",250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Nuvigil Oral Product"",
  ""Nuvigil Pill""
]",,armodafinil || Nuvigil
63459034804,bendamustine hydrochloride 25 mg/ml injectable solution [bendeka],brand,"[
  ""bendamustine hydrochloride 25 mg/ml [bendeka]""
]","[
  ""bendamustine""
]","[
  ""Bendeka""
]",25 MG/ML (expressed as bendamustine hydrochloride),,25.0,"[
  ""Injectable Product""
]","[
  ""Bendeka Injectable Product""
]","[
  ""bendamustine hydrochloride""
]",bendamustine || Bendeka
63459039120,bendamustine hydrochloride 100 mg injection [treanda],brand,"[
  ""bendamustine hydrochloride 100 mg [treanda]""
]","[
  ""bendamustine""
]","[
  ""Treanda""
]",100 MG (expressed as bendamustine hydrochloride),,100.0,"[
  ""Injectable Product""
]","[
  ""Treanda Injectable Product""
]","[
  ""bendamustine hydrochloride""
]",bendamustine || Treanda
63459039120,bendamustine hydrochloride 5 mg/ml injectable solution [treanda],brand,"[
  ""bendamustine hydrochloride 5 mg/ml [treanda]""
]","[
  ""bendamustine""
]","[
  ""Treanda""
]",,,,"[
  ""Injectable Product""
]","[
  ""Treanda Injectable Product""
]","[
  ""bendamustine hydrochloride""
]",bendamustine || Treanda
63481002509,frovatriptan 2.5 mg oral tablet [frova],brand,"[
  ""frovatriptan 2.5 mg [frova]""
]","[
  ""frovatriptan""
]","[
  ""Frova""
]",2.5 MG,,2.5,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Frova Oral Product"",
  ""Frova Pill""
]","[
  ""frovatriptan succinate""
]",frovatriptan || Frova
63481042105,colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml otic suspension [coly mycin s],brand,"[
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [coly mycin s]"",
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [coly mycin s]"",
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [coly mycin s]"",
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [coly mycin s]""
]","[
  ""colistin"",
  ""hydrocortisone"",
  ""neomycin"",
  ""thonzonium""
]","[
  ""Coly Mycin S""
]",3 MG/ML / 10 MG/ML / 3.3 MG/ML / 0.5 MG/ML,,3.0,"[
  ""Otic Product""
]","[
  ""Coly Mycin S Otic Product""
]","[
  ""colistimethate"",
  ""colistin sulfate"",
  ""colistimethate sodium""
]",colistin || hydrocortisone || neomycin || thonzonium || Coly Mycin S
63481052910,colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml otic suspension [cortisporin-tc],brand,"[
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [cortisporin-tc]"",
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [cortisporin-tc]"",
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [cortisporin-tc]"",
  ""colistin 3 mg/ml / hydrocortisone 10 mg/ml / neomycin 3.3 mg/ml / thonzonium bromide 0.5 mg/ml [cortisporin-tc]""
]","[
  ""colistin"",
  ""hydrocortisone"",
  ""neomycin"",
  ""thonzonium""
]","[
  ""Cortisporin-TC""
]",3 MG/ML / 10 MG/ML / 3.3 MG/ML / 0.5 MG/ML,,3.0,"[
  ""Otic Product""
]","[
  ""Cortisporin-TC Otic Product""
]","[
  ""colistimethate"",
  ""colistin sulfate"",
  ""colistimethate sodium""
]",colistin || hydrocortisone || neomycin || thonzonium || Cortisporin-TC
63481062370,acetaminophen 325 mg / oxycodone hydrochloride 5 mg oral tablet [percocet],brand,"[
  ""acetaminophen 325 mg / oxycodone hydrochloride 5 mg [percocet]"",
  ""acetaminophen 325 mg / oxycodone hydrochloride 5 mg [percocet]""
]","[
  ""acetaminophen"",
  ""oxycodone""
]","[
  ""Percocet""
]",325 MG / 5 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Percocet Oral Product"",
  ""Percocet Pill""
]",,acetaminophen || oxycodone || Percocet
63481062870,acetaminophen 325 mg / oxycodone hydrochloride 7.5 mg oral tablet [percocet],brand,"[
  ""acetaminophen 325 mg / oxycodone hydrochloride 7.5 mg [percocet]"",
  ""acetaminophen 325 mg / oxycodone hydrochloride 7.5 mg [percocet]""
]","[
  ""acetaminophen"",
  ""oxycodone""
]","[
  ""Percocet""
]",325 MG / 7.5 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Percocet Oral Product"",
  ""Percocet Pill""
]",,acetaminophen || oxycodone || Percocet
63481062970,acetaminophen 325 mg / oxycodone hydrochloride 10 mg oral tablet [percocet],brand,"[
  ""acetaminophen 325 mg / oxycodone hydrochloride 10 mg [percocet]"",
  ""acetaminophen 325 mg / oxycodone hydrochloride 10 mg [percocet]""
]","[
  ""acetaminophen"",
  ""oxycodone""
]","[
  ""Percocet""
]",325 MG / 10 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Percocet Oral Product"",
  ""Percocet Pill""
]",,acetaminophen || oxycodone || Percocet
63481068447,diclofenac sodium 0.01 mg/mg topical gel [voltaren],brand,"[
  ""diclofenac sodium 0.01 mg/mg [voltaren]""
]","[
  ""diclofenac""
]","[
  ""Voltaren""
]",0.01 MG/MG,,0.0,"[
  ""Topical Product""
]","[
  ""Voltaren Topical Product""
]","[
  ""diclofenac sodium"",
  ""diclofenac diethylammonium"",
  ""diclofenac epolamine"",
  ""diclofenac potassium""
]",diclofenac || Voltaren
63481068706,lidocaine 0.05 mg/mg medicated patch [lidoderm],brand,"[
  ""lidocaine 0.05 mg/mg [lidoderm]""
]","[
  ""lidocaine""
]","[
  ""Lidoderm""
]",0.05 MG/MG,,0.1,"[
  ""Topical Product""
]","[
  ""Lidoderm Topical Product""
]","[
  ""lidocaine hydrochloride anhydrous"",
  ""lidocaine hydrochloride""
]",lidocaine || Lidoderm
62135030905,ciprofloxacin 500 mg oral tablet,generic,"[
  ""ciprofloxacin 500 mg""
]","[
  ""ciprofloxacin""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ciprofloxacin Oral Product"",
  ""ciprofloxacin Pill""
]","[
  ""ciprofloxacin lactate"",
  ""ciprofloxacin hydrochloride""
]",ciprofloxacin
62135062650,doxycycline hyclate 100 mg oral tablet,generic,"[
  ""doxycycline hyclate 100 mg""
]","[
  ""doxycycline""
]",[],100 MG (expressed as doxycycline hyclate),,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""doxycycline Oral Product"",
  ""doxycycline Pill""
]","[
  ""doxycycline anhydrous"",
  ""doxycycline monohydrate"",
  ""doxycycline hyclate"",
  ""doxycycline hydrochloride"",
  ""doxycycline calcium""
]",doxycycline
62135096010,sulfasalazine 500 mg oral tablet,generic,"[
  ""sulfasalazine 500 mg""
]","[
  ""sulfasalazine""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""sulfasalazine Oral Product"",
  ""sulfasalazine Pill""
]",,sulfasalazine
62135098505,doxycycline hyclate 100 mg oral capsule,generic,"[
  ""doxycycline hyclate 100 mg""
]","[
  ""doxycycline""
]",[],100 MG (expressed as doxycycline hyclate),,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""doxycycline Oral Product"",
  ""doxycycline Pill""
]","[
  ""doxycycline anhydrous"",
  ""doxycycline monohydrate"",
  ""doxycycline hyclate"",
  ""doxycycline hydrochloride"",
  ""doxycycline calcium""
]",doxycycline
62175011432,omeprazole 10 mg delayed release oral capsule,generic,"[
  ""omeprazole 10 mg""
]","[
  ""omeprazole""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""omeprazole Oral Product"",
  ""omeprazole Pill""
]","[
  ""omeprazole sodium"",
  ""omeprazole magnesium""
]",omeprazole
62175011832,omeprazole 20 mg delayed release oral capsule,generic,"[
  ""omeprazole 20 mg""
]","[
  ""omeprazole""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""omeprazole Oral Product"",
  ""omeprazole Pill""
]","[
  ""omeprazole sodium"",
  ""omeprazole magnesium""
]",omeprazole
62175011837,omeprazole 20 mg delayed release oral capsule,generic,"[
  ""omeprazole 20 mg""
]","[
  ""omeprazole""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""omeprazole Oral Product"",
  ""omeprazole Pill""
]","[
  ""omeprazole sodium"",
  ""omeprazole magnesium""
]",omeprazole
62175011843,omeprazole 20 mg delayed release oral capsule,generic,"[
  ""omeprazole 20 mg""
]","[
  ""omeprazole""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""omeprazole Oral Product"",
  ""omeprazole Pill""
]","[
  ""omeprazole sodium"",
  ""omeprazole magnesium""
]",omeprazole
62175012837,24 hr isosorbide mononitrate 30 mg extended release oral tablet,generic,"[
  ""isosorbide mononitrate 30 mg""
]","[
  ""isosorbide""
]",[],30 MG,24 HR,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""isosorbide Oral Product"",
  ""isosorbide Pill""
]","[
  ""dimethyl isosorbide"",
  ""isosorbide mononitrate""
]",isosorbide
62175012841,24 hr isosorbide mononitrate 30 mg extended release oral tablet,generic,"[
  ""isosorbide mononitrate 30 mg""
]","[
  ""isosorbide""
]",[],30 MG,24 HR,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""isosorbide Oral Product"",
  ""isosorbide Pill""
]","[
  ""dimethyl isosorbide"",
  ""isosorbide mononitrate""
]",isosorbide
62175013637,omeprazole 40 mg delayed release oral capsule,generic,"[
  ""omeprazole 40 mg""
]","[
  ""omeprazole""
]",[],40 MG,,40.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""omeprazole Oral Product"",
  ""omeprazole Pill""
]","[
  ""omeprazole sodium"",
  ""omeprazole magnesium""
]",omeprazole
62175013643,omeprazole 40 mg delayed release oral capsule,generic,"[
  ""omeprazole 40 mg""
]","[
  ""omeprazole""
]",[],40 MG,,40.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""omeprazole Oral Product"",
  ""omeprazole Pill""
]","[
  ""omeprazole sodium"",
  ""omeprazole magnesium""
]",omeprazole
62175018046,pantoprazole 20 mg delayed release oral tablet,generic,"[
  ""pantoprazole 20 mg""
]","[
  ""pantoprazole""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""pantoprazole Oral Product"",
  ""pantoprazole Pill""
]","[
  ""pantoprazole (as pantoprazole sodium sesquihydrate)"",
  ""pantoprazole sodium""
]",pantoprazole
62175018143,pantoprazole 40 mg delayed release oral tablet,generic,"[
  ""pantoprazole 40 mg""
]","[
  ""pantoprazole""
]",[],40 MG,,40.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""pantoprazole Oral Product"",
  ""pantoprazole Pill""
]","[
  ""pantoprazole (as pantoprazole sodium sesquihydrate)"",
  ""pantoprazole sodium""
]",pantoprazole
62175021046,montelukast 10 mg oral tablet,generic,"[
  ""montelukast 10 mg""
]","[
  ""montelukast""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""montelukast Oral Product"",
  ""montelukast Pill""
]","[
  ""montelukast sodium""
]",montelukast
62175026037,osmotic 24 hr nifedipine 30 mg extended release oral tablet,generic,"[
  ""nifedipine 30 mg""
]","[
  ""nifedipine""
]",[],30 MG,24 HR,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nifedipine Oral Product"",
  ""nifedipine Pill""
]",,nifedipine
62175026037,24 hr nifedipine 30 mg extended release oral tablet,generic,"[
  ""nifedipine 30 mg""
]","[
  ""nifedipine""
]",[],30 MG,24 HR,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nifedipine Oral Product"",
  ""nifedipine Pill""
]",,nifedipine
62175026137,osmotic 24 hr nifedipine 60 mg extended release oral tablet,generic,"[
  ""nifedipine 60 mg""
]","[
  ""nifedipine""
]",[],60 MG,24 HR,60.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nifedipine Oral Product"",
  ""nifedipine Pill""
]",,nifedipine
62175026137,24 hr nifedipine 60 mg extended release oral tablet,generic,"[
  ""nifedipine 60 mg""
]","[
  ""nifedipine""
]",[],60 MG,24 HR,60.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nifedipine Oral Product"",
  ""nifedipine Pill""
]",,nifedipine
62175026237,24 hr nifedipine 90 mg extended release oral tablet,generic,"[
  ""nifedipine 90 mg""
]","[
  ""nifedipine""
]",[],90 MG,24 HR,90.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nifedipine Oral Product"",
  ""nifedipine Pill""
]",,nifedipine
62175026237,osmotic 24 hr nifedipine 90 mg extended release oral tablet,generic,"[
  ""nifedipine 90 mg""
]","[
  ""nifedipine""
]",[],90 MG,24 HR,90.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nifedipine Oral Product"",
  ""nifedipine Pill""
]",,nifedipine
62175027041,24 hr oxybutynin chloride 5 mg extended release oral tablet,generic,"[
  ""oxybutynin chloride 5 mg""
]","[
  ""oxybutynin""
]",[],5 MG,24 HR,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""oxybutynin Oral Product"",
  ""oxybutynin Pill""
]","[
  ""oxybutynin chloride""
]",oxybutynin
46287000601,sodium polystyrene sulfonate 250 mg/ml oral suspension [sps],brand,"[
  ""sodium polystyrene sulfonate 250 mg/ml [sps]""
]","[
  ""sodium polystyrene sulfonate""
]","[
  ""SPS""
]",250 MG/ML,,250.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""SPS Oral Liquid Product"",
  ""SPS Oral Product""
]",,sodium polystyrene sulfonate || SPS
46287000601,sodium polystyrene sulfonate 250 mg/ml oral suspension,generic,"[
  ""sodium polystyrene sulfonate 250 mg/ml""
]","[
  ""sodium polystyrene sulfonate""
]",[],250 MG/ML,,250.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""sodium polystyrene sulfonate Oral Liquid Product"",
  ""sodium polystyrene sulfonate Oral Product""
]",,sodium polystyrene sulfonate
46287001216,sodium polystyrene sulfonate 15000 mg powder for oral suspension,generic,"[
  ""sodium polystyrene sulfonate 15000 mg""
]","[
  ""sodium polystyrene sulfonate""
]",[],15000 MG,,15000.0,"[
  ""Oral Product"",
  ""Oral Powder Product""
]","[
  ""sodium polystyrene sulfonate Oral Product"",
  ""sodium polystyrene sulfonate Oral Powder Product""
]",,sodium polystyrene sulfonate
46287001216,sodium polystyrene sulfonate 250 mg/ml oral suspension,generic,"[
  ""sodium polystyrene sulfonate 250 mg/ml""
]","[
  ""sodium polystyrene sulfonate""
]",[],250 MG/ML,,250.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""sodium polystyrene sulfonate Oral Liquid Product"",
  ""sodium polystyrene sulfonate Oral Product""
]",,sodium polystyrene sulfonate
16714027102,cetirizine hydrochloride 10 mg oral tablet,generic,"[
  ""cetirizine hydrochloride 10 mg""
]","[
  ""cetirizine""
]",[],10 MG (expressed as cetirizine hydrochloride),,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cetirizine Oral Product"",
  ""cetirizine Pill""
]","[
  ""cetirizine hydrochloride""
]",cetirizine
16714029301,amoxicillin 80 mg/ml / clavulanate 11.4 mg/ml oral suspension,generic,"[
  ""amoxicillin 80 mg/ml"",
  ""clavulanate 11.4 mg/ml""
]","[
  ""amoxicillin"",
  ""clavulanate""
]",[],80 MG/ML / 11.4 MG/ML,,80.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""amoxicillin / clavulanate Oral Liquid Product"",
  ""amoxicillin / clavulanate Oral Product""
]",,amoxicillin || clavulanate
16714029401,amoxicillin 120 mg/ml / clavulanate 8.58 mg/ml oral suspension,generic,"[
  ""amoxicillin 120 mg/ml"",
  ""clavulanate 8.58 mg/ml""
]","[
  ""amoxicillin"",
  ""clavulanate""
]",[],120 MG/ML / 8.58 MG/ML,,120.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""amoxicillin / clavulanate Oral Liquid Product"",
  ""amoxicillin / clavulanate Oral Product""
]",,amoxicillin || clavulanate
16714029402,amoxicillin 120 mg/ml / clavulanate 8.58 mg/ml oral suspension,generic,"[
  ""amoxicillin 120 mg/ml"",
  ""clavulanate 8.58 mg/ml""
]","[
  ""amoxicillin"",
  ""clavulanate""
]",[],120 MG/ML / 8.58 MG/ML,,120.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""amoxicillin / clavulanate Oral Liquid Product"",
  ""amoxicillin / clavulanate Oral Product""
]",,amoxicillin || clavulanate
16714029601,amoxicillin 500 mg / clavulanate 125 mg oral tablet,generic,"[
  ""amoxicillin 500 mg"",
  ""clavulanate 125 mg""
]","[
  ""amoxicillin"",
  ""clavulanate""
]",[],500 MG / 125 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amoxicillin / clavulanate Oral Product"",
  ""amoxicillin / clavulanate Pill""
]",,amoxicillin || clavulanate
16714029801,amoxicillin 250 mg oral capsule,generic,"[
  ""amoxicillin 250 mg""
]","[
  ""amoxicillin""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amoxicillin Oral Product"",
  ""amoxicillin Pill""
]","[
  ""amoxicillin anhydrous"",
  ""amoxicillin trihydrate"",
  ""amoxicillin sodium""
]",amoxicillin
16714029904,amoxicillin 500 mg oral capsule,generic,"[
  ""amoxicillin 500 mg""
]","[
  ""amoxicillin""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amoxicillin Oral Product"",
  ""amoxicillin Pill""
]","[
  ""amoxicillin anhydrous"",
  ""amoxicillin trihydrate"",
  ""amoxicillin sodium""
]",amoxicillin
16714030501,famciclovir 500 mg oral tablet,generic,"[
  ""famciclovir 500 mg""
]","[
  ""famciclovir""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""famciclovir Oral Product"",
  ""famciclovir Pill""
]",,famciclovir
16714033002,gabapentin 600 mg oral tablet,generic,"[
  ""gabapentin 600 mg""
]","[
  ""gabapentin""
]",[],600 MG,,600.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""gabapentin Oral Product"",
  ""gabapentin Pill""
]","[
  ""gabapentin enacarbil""
]",gabapentin
16714033101,leflunomide 20 mg oral tablet,generic,"[
  ""leflunomide 20 mg""
]","[
  ""leflunomide""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""leflunomide Oral Product"",
  ""leflunomide Pill""
]",,leflunomide
16714034102,clonidine hydrochloride 0.1 mg oral tablet,generic,"[
  ""clonidine hydrochloride 0.1 mg""
]","[
  ""clonidine""
]",[],0.1 MG,,0.1,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""clonidine Oral Product"",
  ""clonidine Pill""
]","[
  ""clonidine hydrochloride""
]",clonidine
16714035301,fluoxetine 40 mg oral capsule,generic,"[
  ""fluoxetine 40 mg""
]","[
  ""fluoxetine""
]",[],40 MG,,40.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""fluoxetine Oral Product"",
  ""fluoxetine Pill""
]","[
  ""fluoxetine hydrochloride""
]",fluoxetine
16714035502,levetiracetam 500 mg oral tablet,generic,"[
  ""levetiracetam 500 mg""
]","[
  ""levetiracetam""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""levetiracetam Oral Product"",
  ""levetiracetam Pill""
]",,levetiracetam
16714035903,,,,,,,,,,,,
16714036004,,,,,,,,,,,,
16714037202,lamotrigine 100 mg oral tablet,generic,"[
  ""lamotrigine 100 mg""
]","[
  ""lamotrigine""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""lamotrigine Oral Product"",
  ""lamotrigine Pill""
]",,lamotrigine
16714037304,lamotrigine 150 mg oral tablet,generic,"[
  ""lamotrigine 150 mg""
]","[
  ""lamotrigine""
]",[],150 MG,,150.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""lamotrigine Oral Product"",
  ""lamotrigine Pill""
]",,lamotrigine
16714039102,cefdinir 300 mg oral capsule,generic,"[
  ""cefdinir 300 mg""
]","[
  ""cefdinir""
]",[],300 MG,,300.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cefdinir Oral Product"",
  ""cefdinir Pill""
]","[
  ""cefdinir monohydrate""
]",cefdinir
16714039302,cefdinir 50 mg/ml oral suspension,generic,"[
  ""cefdinir 50 mg/ml""
]","[
  ""cefdinir""
]",[],50 MG/ML,,50.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""cefdinir Oral Liquid Product"",
  ""cefdinir Oral Product""
]","[
  ""cefdinir monohydrate""
]",cefdinir
16714040001,cefuroxime 250 mg oral tablet,generic,"[
  ""cefuroxime 250 mg""
]","[
  ""cefuroxime""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cefuroxime Oral Product"",
  ""cefuroxime Pill""
]","[
  ""cefuroxime sodium"",
  ""cefuroxime axetil""
]",cefuroxime
16714040101,cefuroxime 500 mg oral tablet,generic,"[
  ""cefuroxime 500 mg""
]","[
  ""cefuroxime""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cefuroxime Oral Product"",
  ""cefuroxime Pill""
]","[
  ""cefuroxime sodium"",
  ""cefuroxime axetil""
]",cefuroxime
16714040102,cefuroxime 500 mg oral tablet,generic,"[
  ""cefuroxime 500 mg""
]","[
  ""cefuroxime""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cefuroxime Oral Product"",
  ""cefuroxime Pill""
]","[
  ""cefuroxime sodium"",
  ""cefuroxime axetil""
]",cefuroxime
16714043901,"nitrofurantoin, macrocrystals 25 mg / nitrofurantoin, monohydrate 75 mg oral capsule",generic,"[
  ""nitrofurantoin, macrocrystals 25 mg"",
  ""nitrofurantoin, monohydrate 75 mg""
]","[
  ""nitrofurantoin""
]",[],25 MG / 75 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nitrofurantoin Oral Product"",
  ""nitrofurantoin Pill""
]","[
  ""nitrofurantoin, monohydrate"",
  ""nitrofurantoin, macrocrystals""
]",nitrofurantoin
16714044601,amitriptyline hydrochloride 10 mg oral tablet,generic,"[
  ""amitriptyline hydrochloride 10 mg""
]","[
  ""amitriptyline""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amitriptyline Oral Product"",
  ""amitriptyline Pill""
]","[
  ""amitriptyline hydrochloride"",
  ""amitriptyline pamoate"",
  ""amitriptyline oxide""
]",amitriptyline
16714044701,amitriptyline hydrochloride 25 mg oral tablet,generic,"[
  ""amitriptyline hydrochloride 25 mg""
]","[
  ""amitriptyline""
]",[],25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amitriptyline Oral Product"",
  ""amitriptyline Pill""
]","[
  ""amitriptyline hydrochloride"",
  ""amitriptyline pamoate"",
  ""amitriptyline oxide""
]",amitriptyline
16714045201,quetiapine 25 mg oral tablet,generic,"[
  ""quetiapine 25 mg""
]","[
  ""quetiapine""
]",[],25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""quetiapine Oral Product"",
  ""quetiapine Pill""
]","[
  ""quetiapine fumarate""
]",quetiapine
16714045301,quetiapine 50 mg oral tablet,generic,"[
  ""quetiapine 50 mg""
]","[
  ""quetiapine""
]",[],50 MG,,50.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""quetiapine Oral Product"",
  ""quetiapine Pill""
]","[
  ""quetiapine fumarate""
]",quetiapine
16714045401,quetiapine 100 mg oral tablet,generic,"[
  ""quetiapine 100 mg""
]","[
  ""quetiapine""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""quetiapine Oral Product"",
  ""quetiapine Pill""
]","[
  ""quetiapine fumarate""
]",quetiapine
16714045402,quetiapine 100 mg oral tablet,generic,"[
  ""quetiapine 100 mg""
]","[
  ""quetiapine""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""quetiapine Oral Product"",
  ""quetiapine Pill""
]","[
  ""quetiapine fumarate""
]",quetiapine
16714046404,,,,,,,,,,,,
