CODE,CODE_ORIG,CODE_DESCRIPTION
B9681,B96.81,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere
B9689,B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere
B9735,B97.35,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere"
B977,B97.7,Papillomavirus as the cause of diseases classified elsewhere
B9789,B97.89,Other viral agents as the cause of diseases classified elsewhere
B998,B99.8,Other infectious disease
B999,B99.9,Unspecified infectious disease
C001,C00.1,Malignant neoplasm of external lower lip
C01,C01,Malignant neoplasm of base of tongue
C021,C02.1,Malignant neoplasm of border of tongue
C023,C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C029,C02.9,"Malignant neoplasm of tongue, unspecified"
C060,C06.0,Malignant neoplasm of cheek mucosa
C091,C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior)
C099,C09.9,"Malignant neoplasm of tonsil, unspecified"
C132,C13.2,Malignant neoplasm of posterior wall of hypopharynx
C140,C14.0,"Malignant neoplasm of pharynx, unspecified"
C169,C16.9,"Malignant neoplasm of stomach, unspecified"
C180,C18.0,Malignant neoplasm of cecum
C184,C18.4,Malignant neoplasm of transverse colon
C189,C18.9,"Malignant neoplasm of colon, unspecified"
C20,C20,Malignant neoplasm of rectum
C250,C25.0,Malignant neoplasm of head of pancreas
C259,C25.9,"Malignant neoplasm of pancreas, unspecified"
C3412,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung"
C3432,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung"
C3490,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C3492,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung
C4359,C43.59,Malignant melanoma of other part of trunk
C4371,C43.71,"Malignant melanoma of right lower limb, including hip"
C439,C43.9,"Malignant melanoma of skin, unspecified"
C4402,C44.02,Squamous cell carcinoma of skin of lip
C44101,C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus"
C44102,C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus"
C44112,C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus"
C441122,C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus"
C441221,C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus"
C44202,C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal
C44212,C44.212,Basal cell carcinoma of skin of right ear and external auricular canal
C44309,C44.309,Unspecified malignant neoplasm of skin of other parts of face
C44310,C44.310,Basal cell carcinoma of skin of unspecified parts of face
C44311,C44.311,Basal cell carcinoma of skin of nose
C44319,C44.319,Basal cell carcinoma of skin of other parts of face
C44320,C44.320,Squamous cell carcinoma of skin of unspecified parts of face
C44321,C44.321,Squamous cell carcinoma of skin of nose
C44329,C44.329,Squamous cell carcinoma of skin of other parts of face
W1789XA,W17.89XA,"Other fall from one level to another, initial encounter"
W1830XA,W18.30XA,"Fall on same level, unspecified, initial encounter"
W1831XA,W18.31XA,"Fall on same level due to stepping on an object, initial encounter"
W1840XA,W18.40XA,"Slipping, tripping and stumbling without falling, unspecified, initial encounter"
W19XXXA,W19.XXXA,"Unspecified fall, initial encounter"
W19XXXD,W19.XXXD,"Unspecified fall, subsequent encounter"
W208XXA,W20.8XXA,"Other cause of strike by thrown, projected or falling object, initial encounter"
W2101XA,W21.01XA,"Struck by football, initial encounter"
W2104XA,W21.04XA,"Struck by golf ball, initial encounter"
W228XXA,W22.8XXA,"Striking against or struck by other objects, initial encounter"
W231XXA,W23.1XXA,"Caught, crushed, jammed, or pinched between stationary objects, initial encounter"
W25XXXA,W25.XXXA,"Contact with sharp glass, initial encounter"
W278XXA,W27.8XXA,"Contact with other nonpowered hand tool, initial encounter"
W312XXA,W31.2XXA,"Contact with powered woodworking and forming machines, initial encounter"
W4904XA,W49.04XA,"Ring or other jewelry causing external constriction, initial encounter"
W503XXA,W50.3XXA,"Accidental bite by another person, initial encounter"
W51XXXA,W51.XXXA,"Accidental striking against or bumped into by another person, initial encounter"
W540XXA,W54.0XXA,"Bitten by dog, initial encounter"
W541XXA,W54.1XXA,"Struck by dog, initial encounter"
W548XXA,W54.8XXA,"Other contact with dog, initial encounter"
W57XXXA,W57.XXXA,"Bitten or stung by nonvenomous insect and other nonvenomous arthropods, initial encounter"
E8310,E83.10,"Disorder of iron metabolism, unspecified"
E83110,E83.110,Hereditary hemochromatosis
E83119,E83.119,"Hemochromatosis, unspecified"
E8332,E83.32,Hereditary vitamin D-dependent rickets (type 1) (type 2)
E8339,E83.39,Other disorders of phosphorus metabolism
E8342,E83.42,Hypomagnesemia
E8351,E83.51,Hypocalcemia
E8352,E83.52,Hypercalcemia
E8359,E83.59,Other disorders of calcium metabolism
E860,E86.0,Dehydration
E861,E86.1,Hypovolemia
E869,E86.9,"Volume depletion, unspecified"
E870,E87.0,Hyperosmolality and hypernatremia
E871,E87.1,Hypo-osmolality and hyponatremia
E872,E87.2,Acidosis
E873,E87.3,Alkalosis
E874,E87.4,Mixed disorder of acid-base balance
E875,E87.5,Hyperkalemia
E876,E87.6,Hypokalemia
E8770,E87.70,"Fluid overload, unspecified"
E8771,E87.71,Transfusion associated circulatory overload
E878,E87.8,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E8809,E88.09,"Other disorders of plasma-protein metabolism, not elsewhere classified"
E881,E88.1,"Lipodystrophy, not elsewhere classified"
E882,E88.2,"Lipomatosis, not elsewhere classified"
E8849,E88.49,Other mitochondrial metabolism disorders
E8881,E88.81,Metabolic syndrome
E8889,E88.89,Other specified metabolic disorders
E889,E88.9,"Metabolic disorder, unspecified"
E890,E89.0,Postprocedural hypothyroidism
E8940,E89.40,Asymptomatic postprocedural ovarian failure
E8941,E89.41,Symptomatic postprocedural ovarian failure
V019,V01.9,"Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident"
V03,V03,"Pedestrian injured in collision with car, pick-up truck or van"
V059,V05.9,"Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident"
V061,V06.1,Pedestrian injured in collision with other nonmotor vehicle in traffic accident
V091,V09.1,Pedestrian injured in unspecified nontraffic accident
V103,V10.3,Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal
V112,V11.2,Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident
V12,V12,Pedal cycle rider injured in collision with two- or three-wheeled motor vehicle
V14,V14,Pedal cycle rider injured in collision with heavy transport vehicle or bus
V140,V14.0,Pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident
V142,V14.2,Unspecified pedal cyclist injured in collision with heavy transport vehicle or bus in nontraffic accident
V145,V14.5,Pedal cycle passenger injured in collision with heavy transport vehicle or bus in traffic accident
V15,V15,Pedal cycle rider injured in collision with railway train or railway vehicle
V151,V15.1,Pedal cycle passenger injured in collision with railway train or railway vehicle in nontraffic accident
V16,V16,Pedal cycle rider injured in collision with other nonmotor vehicle
V160,V16.0,Pedal cycle driver injured in collision with other nonmotor vehicle in nontraffic accident
I6990,I69.90,Unspecified sequelae of unspecified cerebrovascular disease
I69920,I69.920,Aphasia following unspecified cerebrovascular disease
I69953,I69.953,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
I700,I70.0,Atherosclerosis of aorta
I701,I70.1,Atherosclerosis of renal artery
I70202,I70.202,"Unspecified atherosclerosis of native arteries of extremities, left leg"
I70203,I70.203,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs"
I70209,I70.209,"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity"
I70212,I70.212,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg"
I70213,I70.213,"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs"
I70219,I70.219,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity"
I70223,I70.223,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs"
I70242,I70.242,Atherosclerosis of native arteries of left leg with ulceration of calf
I70245,I70.245,Atherosclerosis of native arteries of left leg with ulceration of other part of foot
I70248,I70.248,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg
I70262,I70.262,"Atherosclerosis of native arteries of extremities with gangrene, left leg"
I70293,I70.293,"Other atherosclerosis of native arteries of extremities, bilateral legs"
I70299,I70.299,"Other atherosclerosis of native arteries of extremities, unspecified extremity"
I70402,I70.402,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg"
I708,I70.8,Atherosclerosis of other arteries
I7090,I70.90,Unspecified atherosclerosis
I7091,I70.91,Generalized atherosclerosis
I71,I71,Aortic aneurysm and dissection
I7102,I71.02,Dissection of abdominal aorta
I712,I71.2,"Thoracic aortic aneurysm, without rupture"
I714,I71.4,"Abdominal aortic aneurysm, without rupture"
I718,I71.8,"Aortic aneurysm of unspecified site, ruptured"
I720,I72.0,Aneurysm of carotid artery
I723,I72.3,Aneurysm of iliac artery
I725,I72.5,Aneurysm of other precerebral arteries
I729,I72.9,Aneurysm of unspecified site
I7300,I73.00,Raynaud's syndrome without gangrene
I7381,I73.81,Erythromelalgia
I7389,I73.89,Other specified peripheral vascular diseases
I739,I73.9,"Peripheral vascular disease, unspecified"
I742,I74.2,Embolism and thrombosis of arteries of the upper extremities
I743,I74.3,Embolism and thrombosis of arteries of the lower extremities
I749,I74.9,Embolism and thrombosis of unspecified artery
I771,I77.1,Stricture of artery
I7774,I77.74,Dissection of vertebral artery
I77810,I77.810,Thoracic aortic ectasia
I77819,I77.819,"Aortic ectasia, unspecified site"
I7789,I77.89,Other specified disorders of arteries and arterioles
I779,I77.9,"Disorder of arteries and arterioles, unspecified"
I781,I78.1,"Nevus, non-neoplastic"
I788,I78.8,Other diseases of capillaries
I789,I78.9,"Disease of capillaries, unspecified"
I8001,I80.01,Phlebitis and thrombophlebitis of superficial vessels of right lower extremity
I8002,I80.02,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity
I803,I80.3,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
I808,I80.8,Phlebitis and thrombophlebitis of other sites
I809,I80.9,Phlebitis and thrombophlebitis of unspecified site
I81,I81,Portal vein thrombosis
I82,I82,Other venous embolism and thrombosis
I82220,I82.220,Acute embolism and thrombosis of inferior vena cava
I82291,I82.291,Chronic embolism and thrombosis of other thoracic veins
I8240,I82.40,Acute embolism and thrombosis of unspecified deep veins of lower extremity
I82401,I82.401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity
I82402,I82.402,Acute embolism and thrombosis of unspecified deep veins of left lower extremity
I82403,I82.403,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral"
I82409,I82.409,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity
I82412,I82.412,Acute embolism and thrombosis of left femoral vein
I82413,I82.413,"Acute embolism and thrombosis of femoral vein, bilateral"
I82422,I82.422,Acute embolism and thrombosis of left iliac vein
I82431,I82.431,Acute embolism and thrombosis of right popliteal vein
I82432,I82.432,Acute embolism and thrombosis of left popliteal vein
I82433,I82.433,"Acute embolism and thrombosis of popliteal vein, bilateral"
I82443,I82.443,"Acute embolism and thrombosis of tibial vein, bilateral"
I82463,I82.463,"Acute embolism and thrombosis of calf muscular vein, bilateral"
I82492,I82.492,Acute embolism and thrombosis of other specified deep vein of left lower extremity
I82493,I82.493,"Acute embolism and thrombosis of other specified deep vein of lower extremity, bilateral"
I824Y3,I82.4Y3,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral"
I824Y9,I82.4Y9,Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity
I824Z2,I82.4Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity
I824Z3,I82.4Z3,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral"
I82502,I82.502,Chronic embolism and thrombosis of unspecified deep veins of left lower extremity
I82509,I82.509,Chronic embolism and thrombosis of unspecified deep veins of unspecified lower extremity
I82512,I82.512,Chronic embolism and thrombosis of left femoral vein
I82513,I82.513,"Chronic embolism and thrombosis of femoral vein, bilateral"
I82521,I82.521,Chronic embolism and thrombosis of right iliac vein
I82532,I82.532,Chronic embolism and thrombosis of left popliteal vein
I82599,I82.599,Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity
I825Y2,I82.5Y2,Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity
I825Z1,I82.5Z1,Chronic embolism and thrombosis of unspecified deep veins of right distal lower extremity
I82613,I82.613,"Acute embolism and thrombosis of superficial veins of upper extremity, bilateral"
I82812,I82.812,Embolism and thrombosis of superficial veins of left lower extremity
I82890,I82.890,Acute embolism and thrombosis of other specified veins
I8290,I82.90,Acute embolism and thrombosis of unspecified vein
I8291,I82.91,Chronic embolism and thrombosis of unspecified vein
I82A19,I82.A19,Acute embolism and thrombosis of unspecified axillary vein
I82A29,I82.A29,Chronic embolism and thrombosis of unspecified axillary vein
I82B12,I82.B12,Acute embolism and thrombosis of left subclavian vein
I82C12,I82.C12,Acute embolism and thrombosis of left internal jugular vein
I83009,I83.009,Varicose veins of unspecified lower extremity with ulcer of unspecified site
I83018,I83.018,Varicose veins of right lower extremity with ulcer other part of lower leg
I8310,I83.10,Varicose veins of unspecified lower extremity with inflammation
I8311,I83.11,Varicose veins of right lower extremity with inflammation
I8312,I83.12,Varicose veins of left lower extremity with inflammation
I83811,I83.811,Varicose veins of right lower extremity with pain
I83812,I83.812,Varicose veins of left lower extremity with pain
I83813,I83.813,Varicose veins of bilateral lower extremities with pain
I83891,I83.891,Varicose veins of right lower extremity with other complications
I83892,I83.892,Varicose veins of left lower extremity with other complications
I83893,I83.893,Varicose veins of bilateral lower extremities with other complications
I8390,I83.90,Asymptomatic varicose veins of unspecified lower extremity
I8391,I83.91,Asymptomatic varicose veins of right lower extremity
I8392,I83.92,Asymptomatic varicose veins of left lower extremity
I8393,I83.93,Asymptomatic varicose veins of bilateral lower extremities
I8500,I85.00,Esophageal varices without bleeding
I8510,I85.10,Secondary esophageal varices without bleeding
I861,I86.1,Scrotal varices
I868,I86.8,Varicose veins of other specified sites
I87009,I87.009,Postthrombotic syndrome without complications of unspecified extremity
I871,I87.1,Compression of vein
I872,I87.2,Venous insufficiency (chronic) (peripheral)
I87311,I87.311,Chronic venous hypertension (idiopathic) with ulcer of right lower extremity
I878,I87.8,Other specified disorders of veins
I888,I88.8,Other nonspecific lymphadenitis
I889,I88.9,"Nonspecific lymphadenitis, unspecified"
I890,I89.0,"Lymphedema, not elsewhere classified"
I891,I89.1,Lymphangitis
I898,I89.8,Other specified noninfective disorders of lymphatic vessels and lymph nodes
I951,I95.1,Orthostatic hypotension
I952,I95.2,Hypotension due to drugs
I9581,I95.81,Postprocedural hypotension
I9589,I95.89,Other hypotension
I959,I95.9,"Hypotension, unspecified"
I96,I96,"Gangrene, not elsewhere classified"
I97791,I97.791,Other intraoperative cardiac functional disturbances during other surgery
I9789,I97.89,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified"
I998,I99.8,Other disorder of circulatory system
J00,J00,Acute nasopharyngitis [common cold]
J0100,J01.00,"Acute maxillary sinusitis, unspecified"
J0101,J01.01,Acute recurrent maxillary sinusitis
J0110,J01.10,"Acute frontal sinusitis, unspecified"
J0111,J01.11,Acute recurrent frontal sinusitis
J0130,J01.30,"Acute sphenoidal sinusitis, unspecified"
J0140,J01.40,"Acute pansinusitis, unspecified"
J0180,J01.80,Other acute sinusitis
J0181,J01.81,Other acute recurrent sinusitis
J0190,J01.90,"Acute sinusitis, unspecified"
J0191,J01.91,"Acute recurrent sinusitis, unspecified"
J020,J02.0,Streptococcal pharyngitis
J028,J02.8,Acute pharyngitis due to other specified organisms
J029,J02.9,"Acute pharyngitis, unspecified"
J0300,J03.00,"Acute streptococcal tonsillitis, unspecified"
J0380,J03.80,Acute tonsillitis due to other specified organisms
J0390,J03.90,"Acute tonsillitis, unspecified"
J0391,J03.91,"Acute recurrent tonsillitis, unspecified"
J040,J04.0,Acute laryngitis
J0410,J04.10,Acute tracheitis without obstruction
J050,J05.0,Acute obstructive laryngitis [croup]
J0510,J05.10,Acute epiglottitis without obstruction
J06,J06,Acute upper respiratory infections of multiple and unspecified sites
J060,J06.0,Acute laryngopharyngitis
J069,J06.9,"Acute upper respiratory infection, unspecified"
J09X2,J09.X2,Influenza due to identified novel influenza A virus with other respiratory manifestations
J1000,J10.00,Influenza due to other identified influenza virus with unspecified type of pneumonia
J1008,J10.08,Influenza due to other identified influenza virus with other specified pneumonia
J101,J10.1,Influenza due to other identified influenza virus with other respiratory manifestations
J111,J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations
J1189,J11.89,Influenza due to unidentified influenza virus with other manifestations
J1282,J12.82,Pneumonia due to coronavirus disease 2019
J1289,J12.89,Other viral pneumonia
J129,J12.9,"Viral pneumonia, unspecified"
J151,J15.1,Pneumonia due to Pseudomonas
J15211,J15.211,Pneumonia due to Methicillin susceptible Staphylococcus aureus
J155,J15.5,Pneumonia due to Escherichia coli
J156,J15.6,Pneumonia due to other Gram-negative bacteria
J159,J15.9,Unspecified bacterial pneumonia
J168,J16.8,Pneumonia due to other specified infectious organisms
J180,J18.0,"Bronchopneumonia, unspecified organism"
J181,J18.1,"Lobar pneumonia, unspecified organism"
J188,J18.8,"Other pneumonia, unspecified organism"
J189,J18.9,"Pneumonia, unspecified organism"
J200,J20.0,Acute bronchitis due to Mycoplasma pneumoniae
J205,J20.5,Acute bronchitis due to respiratory syncytial virus
J206,J20.6,Acute bronchitis due to rhinovirus
J208,J20.8,Acute bronchitis due to other specified organisms
J209,J20.9,"Acute bronchitis, unspecified"
J218,J21.8,Acute bronchiolitis due to other specified organisms
J219,J21.9,"Acute bronchiolitis, unspecified"
J22,J22,Unspecified acute lower respiratory infection
J300,J30.0,Vasomotor rhinitis
J301,J30.1,Allergic rhinitis due to pollen
J302,J30.2,Other seasonal allergic rhinitis
J305,J30.5,Allergic rhinitis due to food
J3081,J30.81,Allergic rhinitis due to animal (cat) (dog) hair and dander
J3089,J30.89,Other allergic rhinitis
J309,J30.9,"Allergic rhinitis, unspecified"
J310,J31.0,Chronic rhinitis
J312,J31.2,Chronic pharyngitis
J320,J32.0,Chronic maxillary sinusitis
J321,J32.1,Chronic frontal sinusitis
J322,J32.2,Chronic ethmoidal sinusitis
J323,J32.3,Chronic sphenoidal sinusitis
J324,J32.4,Chronic pansinusitis
J328,J32.8,Other chronic sinusitis
J329,J32.9,"Chronic sinusitis, unspecified"
J330,J33.0,Polyp of nasal cavity
J339,J33.9,"Nasal polyp, unspecified"
J340,J34.0,"Abscess, furuncle and carbuncle of nose"
J341,J34.1,Cyst and mucocele of nose and nasal sinus
J342,J34.2,Deviated nasal septum
J343,J34.3,Hypertrophy of nasal turbinates
J3489,J34.89,Other specified disorders of nose and nasal sinuses
J349,J34.9,Unspecified disorder of nose and nasal sinuses
J3501,J35.01,Chronic tonsillitis
J3503,J35.03,Chronic tonsillitis and adenoiditis
J351,J35.1,Hypertrophy of tonsils
J353,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
J358,J35.8,Other chronic diseases of tonsils and adenoids
J36,J36,Peritonsillar abscess
J370,J37.0,Chronic laryngitis
J381,J38.1,Polyp of vocal cord and larynx
J387,J38.7,Other diseases of larynx
J392,J39.2,Other diseases of pharynx
J398,J39.8,Other specified diseases of upper respiratory tract
J40,J40,"Bronchitis, not specified as acute or chronic"
J410,J41.0,Simple chronic bronchitis
J42,J42,Unspecified chronic bronchitis
J431,J43.1,Panlobular emphysema
J432,J43.2,Centrilobular emphysema
J438,J43.8,Other emphysema
J439,J43.9,"Emphysema, unspecified"
J440,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection
J441,J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation
J449,J44.9,"Chronic obstructive pulmonary disease, unspecified"
J4520,J45.20,"Mild intermittent asthma, uncomplicated"
J4521,J45.21,Mild intermittent asthma with (acute) exacerbation
J4530,J45.30,"Mild persistent asthma, uncomplicated"
J4531,J45.31,Mild persistent asthma with (acute) exacerbation
J4540,J45.40,"Moderate persistent asthma, uncomplicated"
J4541,J45.41,Moderate persistent asthma with (acute) exacerbation
J4550,J45.50,"Severe persistent asthma, uncomplicated"
J4551,J45.51,Severe persistent asthma with (acute) exacerbation
J459,J45.9,Other and unspecified asthma
J4590,J45.90,Unspecified asthma
J45901,J45.901,Unspecified asthma with (acute) exacerbation
J45902,J45.902,Unspecified asthma with status asthmaticus
J45909,J45.909,"Unspecified asthma, uncomplicated"
J45990,J45.990,Exercise induced bronchospasm
J45991,J45.991,Cough variant asthma
J45998,J45.998,Other asthma
J479,J47.9,"Bronchiectasis, uncomplicated"
S06337A,S06.337A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
S06339A,S06.339A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter"
S065X9A,S06.5X9A,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter"
S065X9D,S06.5X9D,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, subsequent encounter"
S066X1A,S06.6X1A,"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, initial encounter"
S069X0S,S06.9X0S,"Unspecified intracranial injury without loss of consciousness, sequela"
S069X1A,S06.9X1A,"Unspecified intracranial injury with loss of consciousness of 30 minutes or less, initial encounter"
S0922XA,S09.22XA,"Traumatic rupture of left ear drum, initial encounter"
S098XXA,S09.8XXA,"Other specified injuries of head, initial encounter"
S0990XA,S09.90XA,"Unspecified injury of head, initial encounter"
S0991XA,S09.91XA,"Unspecified injury of ear, initial encounter"
S0992XA,S09.92XA,"Unspecified injury of nose, initial encounter"
S0993XA,S09.93XA,"Unspecified injury of face, initial encounter"
S1093XA,S10.93XA,"Contusion of unspecified part of neck, initial encounter"
S1096XA,S10.96XA,"Insect bite of unspecified part of neck, initial encounter"
O039,O03.9,Complete or unspecified spontaneous abortion without complication
O09,O09,Supervision of high risk pregnancy
O0900,O09.00,"Supervision of pregnancy with history of infertility, unspecified trimester"
O0901,O09.01,"Supervision of pregnancy with history of infertility, first trimester"
O0911,O09.11,"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
O09211,O09.211,"Supervision of pregnancy with history of pre-term labor, first trimester"
O09212,O09.212,"Supervision of pregnancy with history of pre-term labor, second trimester"
O09291,O09.291,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
O09292,O09.292,"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
O09293,O09.293,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
O09299,O09.299,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
O09511,O09.511,"Supervision of elderly primigravida, first trimester"
O09512,O09.512,"Supervision of elderly primigravida, second trimester"
O09513,O09.513,"Supervision of elderly primigravida, third trimester"
O09521,O09.521,"Supervision of elderly multigravida, first trimester"
O09522,O09.522,"Supervision of elderly multigravida, second trimester"
O09523,O09.523,"Supervision of elderly multigravida, third trimester"
O09529,O09.529,"Supervision of elderly multigravida, unspecified trimester"
O09622,O09.622,"Supervision of young multigravida, second trimester"
O09811,O09.811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
O09812,O09.812,"Supervision of pregnancy resulting from assisted reproductive technology, second trimester"
O09813,O09.813,"Supervision of pregnancy resulting from assisted reproductive technology, third trimester"
O0989,O09.89,Supervision of other high risk pregnancies
O09891,O09.891,"Supervision of other high risk pregnancies, first trimester"
O09892,O09.892,"Supervision of other high risk pregnancies, second trimester"
O09893,O09.893,"Supervision of other high risk pregnancies, third trimester"
O09899,O09.899,"Supervision of other high risk pregnancies, unspecified trimester"
O0990,O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O0991,O09.91,"Supervision of high risk pregnancy, unspecified, first trimester"
O0992,O09.92,"Supervision of high risk pregnancy, unspecified, second trimester"
O0993,O09.93,"Supervision of high risk pregnancy, unspecified, third trimester"
O10012,O10.012,"Pre-existing essential hypertension complicating pregnancy, second trimester"
O10013,O10.013,"Pre-existing essential hypertension complicating pregnancy, third trimester"
O1003,O10.03,Pre-existing essential hypertension complicating the puerperium
O134,O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth"
O1403,O14.03,"Mild to moderate pre-eclampsia, third trimester"
O1414,O14.14,Severe pre-eclampsia complicating childbirth
O1490,O14.90,"Unspecified pre-eclampsia, unspecified trimester"
O1493,O14.93,"Unspecified pre-eclampsia, third trimester"
O1494,O14.94,"Unspecified pre-eclampsia, complicating childbirth"
O163,O16.3,"Unspecified maternal hypertension, third trimester"
O200,O20.0,Threatened abortion
O209,O20.9,"Hemorrhage in early pregnancy, unspecified"
O210,O21.0,Mild hyperemesis gravidarum
O212,O21.2,Late vomiting of pregnancy
O219,O21.9,"Vomiting of pregnancy, unspecified"
O2213,O22.13,"Genital varices in pregnancy, third trimester"
O2340,O23.40,"Unspecified infection of urinary tract in pregnancy, unspecified trimester"
O2341,O23.41,"Unspecified infection of urinary tract in pregnancy, first trimester"
O24011,O24.011,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester"
O24019,O24.019,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester"
O2412,O24.12,"Pre-existing type 2 diabetes mellitus, in childbirth"
O24415,O24.415,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs"
O24419,O24.419,"Gestational diabetes mellitus in pregnancy, unspecified control"
O24425,O24.425,"Gestational diabetes mellitus in childbirth, controlled by oral hypoglycemic drugs"
O24435,O24.435,"Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs"
O24439,O24.439,"Gestational diabetes mellitus in the puerperium, unspecified control"
O24912,O24.912,"Unspecified diabetes mellitus in pregnancy, second trimester"
O24913,O24.913,"Unspecified diabetes mellitus in pregnancy, third trimester"
O26842,O26.842,"Uterine size-date discrepancy, second trimester"
O26843,O26.843,"Uterine size-date discrepancy, third trimester"
O26891,O26.891,"Other specified pregnancy related conditions, first trimester"
O26892,O26.892,"Other specified pregnancy related conditions, second trimester"
O26893,O26.893,"Other specified pregnancy related conditions, third trimester"
O26899,O26.899,"Other specified pregnancy related conditions, unspecified trimester"
O2690,O26.90,"Pregnancy related conditions, unspecified, unspecified trimester"
O2691,O26.91,"Pregnancy related conditions, unspecified, first trimester"
O2692,O26.92,"Pregnancy related conditions, unspecified, second trimester"
O280,O28.0,Abnormal hematological finding on antenatal screening of mother
O283,O28.3,Abnormal ultrasonic finding on antenatal screening of mother
O285,O28.5,Abnormal chromosomal and genetic finding on antenatal screening of mother
O288,O28.8,Other abnormal findings on antenatal screening of mother
O289,O28.9,Unspecified abnormal findings on antenatal screening of mother
O322XX0,O32.2XX0,"Maternal care for transverse and oblique lie, not applicable or unspecified"
O324XX0,O32.4XX0,"Maternal care for high head at term, not applicable or unspecified"
O329XX0,O32.9XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified"
O3412,O34.12,"Maternal care for benign tumor of corpus uteri, second trimester"
O3421,O34.21,Maternal care for scar from previous cesarean delivery
O34211,O34.211,Maternal care for low transverse scar from previous cesarean delivery
O34219,O34.219,Maternal care for unspecified type scar from previous cesarean delivery
O351XX0,O35.1XX0,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified"
O355XX0,O35.5XX0,"Maternal care for (suspected) damage to fetus by drugs, not applicable or unspecified"
O358XX0,O35.8XX0,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified"
O359XX0,O35.9XX0,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified"
